TEAM_ABBREVIATION,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK
NOP,109.18140589569161,40.81972789115646,87.41156462585035,0.46794784580498866,9.931972789115646,27.675736961451246,0.35853514739229025,17.60997732426304,23.07482993197279,0.7633231292517006,10.569160997732427,33.90589569160998,44.4750566893424,24.75283446712018,14.125850340136054,7.785714285714286,5.068027210884353
NYK,103.93490054249548,38.46112115732369,85.64376130198914,0.4498282097649186,9.929475587703436,27.749547920433997,0.3562287522603978,17.083182640144667,22.245931283905968,0.7685596745027126,11.092224231464737,32.54611211573237,43.638336347197104,21.469258589511753,13.69620253164557,7.23508137432188,4.8019891500904155
OKC,108.63489208633094,39.93705035971223,86.45593525179856,0.4631915467625899,9.657374100719425,27.52517985611511,0.3520044964028777,19.10341726618705,24.53687050359712,0.7769055755395683,11.122302158273381,33.94874100719424,45.07104316546763,22.115107913669064,14.548561151079136,8.015287769784173,5.633992805755396
ORL,102.26864330637916,38.37017070979335,85.1967654986523,0.4511725067385445,9.485175202156334,27.31087151841869,0.34642318059299193,16.043126684636118,21.353998203054807,0.7541239892183289,10.102425876010782,33.133872416891286,43.23629829290206,22.649595687331537,14.243486073674752,7.3171608265947885,4.694519317160826
PHI,104.76100628930817,38.907457322551664,85.47259658580413,0.4560341419586703,9.523809523809524,26.74303683737646,0.35299191374663075,17.422282120395327,22.911051212938006,0.7579496855345912,10.380053908355794,33.01078167115903,43.39083557951483,23.752021563342318,14.557053009883198,8.241689128481582,5.224618149146451
PHX,107.12848158131177,40.00718778077269,86.52111410601977,0.46337017070979336,9.64690026954178,27.07906558849955,0.3530808625336927,17.46720575022462,22.48607367475292,0.7766972147349506,10.579514824797844,32.59209344115005,43.17160826594789,23.48247978436658,14.810422282120395,7.731356693620844,4.762803234501348
POR,106.48473967684022,39.179533213644525,86.51705565529623,0.45386804308797124,10.622082585278276,29.285457809694794,0.3612324955116697,17.503590664272892,22.05834829443447,0.7926023339317774,11.014362657091562,32.70556552962298,43.71992818671454,21.858168761220824,13.811490125673249,6.9640933572710955,4.78096947935368
SAC,106.73830935251799,39.848021582733814,86.46672661870504,0.46158902877697844,9.43705035971223,26.274280575539567,0.35584712230215826,17.605215827338128,23.362410071942445,0.7510530575539569,10.673561151079136,32.27068345323741,42.944244604316545,23.04406474820144,14.523381294964029,7.684352517985611,4.253597122302159
SAS,107.5013501350135,40.693069306930695,86.2916291629163,0.4729558955895589,9.409540954095409,25.48064806480648,0.3725778577857786,16.705670567056707,21.36993699369937,0.7806156615661566,9.871287128712872,33.80828082808281,43.67956795679568,25.032403240324033,13.522952295229523,7.483348334833483,5.212421242124212
TOR,106.2976618705036,39.15377697841727,85.65647482014388,0.4580152877697842,9.867805755395683,27.72931654676259,0.35188938848920864,18.12230215827338,23.152877697841728,0.7825242805755396,10.821942446043165,32.06744604316547,42.889388489208635,22.633992805755394,13.533273381294965,7.926258992805756,4.930755395683454
UTA,105.3273381294964,38.70413669064748,83.84802158273381,0.46222661870503595,10.114208633093526,28.03687050359712,0.355476618705036,17.804856115107913,23.267086330935253,0.7660206834532374,10.904676258992806,33.17625899280576,44.080935251798564,22.6681654676259,14.719424460431656,7.325539568345324,5.331834532374101
WAS,105.99190647482014,39.972122302158276,86.42805755395683,0.4632320143884892,9.02068345323741,25.37320143884892,0.35425539568345327,17.026978417266186,22.428956834532375,0.7594730215827338,10.180755395683454,32.547661870503596,42.72841726618705,24.053956834532375,14.457733812949641,7.73021582733813,4.758992805755396
